Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added
BANGUNS,CBSNYT,4/15/1981,25,25,43 ,0 ,0 ,0 ,0 ,0 ,0 ,51,7,45.74,NYT Release 2/22/96,0,101,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,6/15/1981,25,25,41,0 ,0 ,0 ,0 ,0 ,0 ,54,5,43.16,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,10/15/1987,25,25,42,0 ,0 ,0 ,0 ,0 ,0 ,50,8,45.65,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,7/1/1988,25,25,37,0 ,0 ,0 ,0 ,0 ,0 ,59,4,38.54,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,10/15/1988,25,25,42 ,0 ,0 ,0 ,0 ,0 ,0 ,52,6,44.68,NYT Release 2/22/96,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,3/15/1989,25,25,41 ,0 ,0 ,0 ,0 ,0 ,0 ,55,6,42.71,NYT Release 2/22/96,0,102,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,9/15/1990,25,25,41,0 ,0 ,0 ,0 ,0 ,0 ,55,4,42.71,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,3/15/1991,25,25,43,0 ,0 ,0 ,0 ,0 ,0 ,53,4,44.79,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,1/20/1992,25,25,41 ,0 ,0 ,0 ,0 ,0 ,0 ,56,3,42.27,USCBSNYT.92JANB.R62,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,3/15/1993,25,25,41 ,0 ,0 ,0 ,0 ,0 ,0 ,55,4,42.71,NYT Release 2/22/96,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,3/15/1993,25,25,42,0 ,0 ,0 ,0 ,0 ,0 ,54,4,43.75,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,12/5/1993,25,25,49 ,0 ,0 ,0 ,0 ,0 ,0 ,49,2,50.00,USCBS.93DEC8.R66,1289,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,12/15/1993,25,25,39,0 ,0 ,0 ,0 ,0 ,0 ,60,1,39.39,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,PEW,12/15/1993,25,25,45,0 ,0 ,0 ,0 ,0 ,0 ,51,4,46.88,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,1/15/1994,25,25,46 ,0 ,0 ,0 ,0 ,0 ,0 ,50,3,47.92,USCBSNYT.012294.R49A,1146,99,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,4/25/1995,25,25,47 ,0 ,0 ,0 ,0 ,0 ,0 ,48,5,49.47,USCBS.042695.R04,596,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,2/22/1996,25,25,47 ,0 ,0 ,0 ,0 ,0 ,0 ,50,3,48.45,NYT Release 2/22/96,1223,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,2/15/1999,25,25,34,0 ,0 ,0 ,0 ,0 ,0 ,64,2,34.69,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,4/15/1999,25,25,38,0 ,0 ,0 ,0 ,0 ,0 ,59,3,39.18,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,4/22/1999,25,25,43 ,0 ,0 ,0 ,0 ,0 ,0 ,53,4,44.79,USCBS.042399.R28,450,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,PEW,5/15/1999,25,25,44,0 ,0 ,0 ,0 ,0 ,0 ,50,6,46.81,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,8/1/1999,25,25,33 ,0 ,0 ,0 ,0 ,0 ,0 ,63,5,34.38,USCBS.99008A.Q70,1165,101,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,8/15/1999,25,25,35 ,0 ,0 ,0 ,0 ,0 ,0 ,61,4,36.46,USCBS.081699.R20,736,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,ABCWP,9/7/1999,25,25,23 ,9 ,0,0,0 ,0,18 ,47,3,32.99,USABCWP.090799.R33F,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,PEW,9/15/1999,25,25,46,0 ,0 ,0 ,0 ,0 ,0 ,50,4,47.92,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,PEW,3/15/2000,25,25,47,0 ,0 ,0 ,0 ,0 ,0 ,47,6,50.00,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,3/19/2000,25,25,34 ,0 ,0 ,0 ,0 ,0 ,0 ,63,4,35.05,USCBS.200003A.Q61,1221,101,1209,1212,0,0,0,0,0,0,0
BANGUNS,ABCWP,5/7/2000,25,25,26 ,12 ,0,0,0 ,0,16 ,43,3,39.18,USABCWP.051300.R15F,1068,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,6/15/2000,25,25,36,0 ,0 ,0 ,0 ,0 ,0 ,62,2,36.73,Pollingreport.com,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,8/29/2000,25,25,36,0,0,0,0,0,0,62,2,36.73,Polling Report 7-16-05,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,10/14/2002,25,25,32,0,0,0,0,0,0,65,3,32.99,Polling Report 7-16-05,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,10/6/2003,25,25,32,0,0,0,0,0,0,67,1,32.32,Polling Report 7-16-05,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,10/11/2004,25,25,36,0,0,0,0,0,0,63,1,36.36,Polling Report 7-16-05,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,10/13/2005,25,25,35,0,0,0,0,0,0,64,1,35.35,Polling Report 4-25-09,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,GALLUP,10/9/2006,25,25,32,0,0,0,0,0,0,66,2,32.65,Polling Report 4-25-09,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,PEW,4/18/2007,25,25,37,0,0,0,0,0,0,55,8,40.22,Polling Report 4-25-09,0,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,CBSNYT,4/20/2007,25,25,33,0,0,0,0,0,0,64,3,34.02,USCBSNYT.042307.R10,644,100,1209,1212,0,0,0,0,0,0,0
BANGUNS,ABC,4/22/2007,25,25,28,9,0,0,0,0,17,42,3,38.54,USABC.042307.R02D,788,99,1209,1212,0,0,0,0,0,0,0
